,Amazon_Product_Name,Amazon_Retail_Price,Amazon_Discounted_Price,Flipkart_Product_Name,Flipkart_Retail_Price,Flipkart_Discounted_Price
25,GLUS WEDDING LINGERIE SET,1295,869,Glus Wedding Lingerie Set,1299.0,699.0
26,VEELYS SHINY WHITE QUAD ROLLER SKATES - SIZE 4.5 UK,3193,2835,Veelys Shiny White Quad Roller Skates - Size 4.5 UK,3199.0,2499.0
27,BULAKY VANITY CASE JEWELLERY VANITY CASE,488,490,Bulaky vanity case Jewellery Vanity Case,499.0,390.0
28,FDT WOMEN'S Leggings Pants,698,362,FDT Women's Leggings,699.0,309.0
29,MADCAPS C38GR30 MEN'S CARGOS,2183,2100,Madcaps C38GR30 Men's Cargos,2199.0,1699.0
30,BENGAL BLOOMS ROSE ARTIFICIAL PLANT  WITH POT,783,710,Bengal Blooms Rose Artificial Plant  with Pot,799.0,579.0
31,INDCROWN NET EMBROIDERED SEMI-STITCHED LEHENGA CHOLI MATERIAL,994,854,Indcrown Net Embroidered Semi-stitched Lehenga Choli Material,999.0,699.0
32,SHOPMANIA MUSIC BAND A5 NOTEBOOK SPIRAL BOUND,483,347,Shopmania Music Band A5 Notebook Spiral Bound,499.0,275.0
33,SHOPMANIA MUSIC BAND A5 NOTEBOOK SPIRAL BOUND,487,330,Shopmania Music Band A5 Notebook Spiral Bound,499.0,275.0
34,"TIARA DIARIES 2016-2017 DESIGNER LA KAARTA ""TAKING ACTION GETTING RESULT"" (SET OF 3) B5 NOTEBOOK HARD BOUND",993,1019,"Tiara Diaries 2016-2017 Designer LA Kaarta ""TAKING ACTION GETTING RESULT"" (Set of 3) B5 Notebook Hard Bound",1000.0,837.0
35,KAJCI EMBROIDERED WOMEN'S WAISTCOAT,1183,822,KAJCI Embroidered Women's Waistcoat,1200.0,699.0
36,PACKMAN 8 X 10 INCHES SECURITY BAGS WITHOUT POD JACKET COURIER BAG SECURITY BAG,347,343,Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag,350.0,298.0
37,PICK POCKET EMBROIDERED WOMEN'S WAISTCOAT,886,1167,Pick Pocket Embroidered Women's Waistcoat,899.0,899.0
38,ANGELFISH SILK POTALI POTLI,983,482,Angelfish Silk Potali Potli,999.0,399.0
39,OYE BOY'S DUNGAREE,893,985,Oye Boy's Dungaree,899.0,764.0
40,NURIDE CANVAS SHOES,1990,1625,Nuride Canvas Shoes,1999.0,1349.0
41,OM SHIVAKRITI SQUARE WALL CLOCK SHOWPIECE  -  38.1 CM,1480,1786,OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm,1499.0,1499.0
42,HIMMLISCH ST381 MAGNETIC SUN SHADE FOR MARUTI ALTO,6990,2313,Himmlisch ST381 Magnetic Sun Shade For Maruti Alto,6999.0,1899.0
43,RAPTER BNC-179 BNC WIRE CONNECTOR,2279,1582,Rapter BNC-179 BNC Wire Connector,2299.0,1400.0
44,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,987,562,Vishudh Printed Women's Straight Kurta,999.0,499.0
45,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,892,556,Vishudh Printed Women's Straight Kurta,899.0,449.0
46,VISHUDH PRINTED WOMEN'S ANARKALI KURTA,2089,1161,Vishudh Printed Women's Anarkali Kurta,2099.0,1049.0
47,BUILDTRACK PIR WIRELESS MOTION SENSOR - ONE SWITCH CONTROL WIRELESS SENSOR SECURITY SYSTEM,6482,6153,BuildTrack PIR Wireless Motion Sensor - One Switch Control Wireless Sensor Security System,6500.0,5000.0
48,SKAYVON SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER WIRED SENSOR SECURITY SYSTEM,9972,6022,Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired Sensor Security System,9990.0,4990.0
49,MASARA SOLID WOMEN'S STRAIGHT KURTA,1396,686,MASARA Solid Women's Straight Kurta,1399.0,599.0
50,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,887,544,Vishudh Printed Women's Straight Kurta,899.0,449.0
51,RAPTER BNC-047 BNC WIRE CONNECTOR,1288,1023,Rapter BNC-047 BNC Wire Connector,1299.0,899.0
52,SKAYVON SUBMERSIBBLE THREE PHASE PUMP CONTROLLER WIRED SENSOR SECURITY SYSTEM,8979,5877,Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER Wired Sensor Security System,8999.0,4990.0
53,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,888,554,Vishudh Printed Women's Straight Kurta,899.0,449.0
54,BEHRINGER XENYX 502 ANALOG SOUND MIXER,9984,7854,Behringer Xenyx 502 Analog Sound Mixer,10000.0,6600.0
55,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,879,512,Vishudh Printed Women's Straight Kurta,899.0,449.0
56,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,879,534,Vishudh Printed Women's Straight Kurta,899.0,449.0
57,MASARA SOLID WOMEN'S STRAIGHT KURTA,1382,711,MASARA Solid Women's Straight Kurta,1399.0,599.0
58,MASARA SOLID WOMEN'S STRAIGHT KURTA,1382,694,MASARA Solid Women's Straight Kurta,1399.0,550.0
59,ROADSTER MEN'S ZIPPER SOLID CARDIGAN,1380,887,Roadster Men's Zipper Solid Cardigan,1399.0,699.0
60,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,995,638,Vishudh Printed Women's Straight Kurta,999.0,499.0
61,NOOR EMBROIDERED WOMEN'S STRAIGHT KURTA,1639,1041,Noor Embroidered Women's Straight Kurta,1649.0,849.0
62,MASARA SOLID WOMEN'S STRAIGHT KURTA,1388,660,MASARA Solid Women's Straight Kurta,1399.0,599.0
63,VISHUDH PRINTED WOMEN'S STRAIGHT KURTA,888,562,Vishudh Printed Women's Straight Kurta,899.0,449.0
64,LIBAS PRINTED WOMEN'S A-LINE KURTA,887,570,Libas Printed Women's A-line Kurta,899.0,449.0
65,LIBAS PRINTED WOMEN'S ANARKALI KURTA,1831,1142,Libas Printed Women's Anarkali Kurta,1849.0,924.0
66,MASARA SOLID WOMEN'S STRAIGHT KURTA,981,647,MASARA Solid Women's Straight Kurta,999.0,499.0
67,HRS ULTIMATE BOY CHEST PADS,427,491,HRS ULTIMATE BOY Chest Pads,440.0,395.0
68,VERMELLO MEN CASUAL BROWN GENUINE LEATHER BELT,1488,918,Vermello Men Casual Brown Genuine Leather Belt,1495.0,795.0
69,HRS CLUB BOY THIGH PADS,273,298,HRS CLUB BOY Thigh Pads,280.0,250.0
70,LIGANS NY MEN FORMAL BLACK GENUINE LEATHER BELT,794,868,Ligans NY Men Formal Black Genuine Leather Belt,795.0,695.0
71,ELEGANCE POLYESTER MULTICOLOR ABSTRACT EYELET DOOR CURTAIN,1898,1145,Elegance Polyester Multicolor Abstract Eyelet Door Curtain,1899.0,899.0
72,LIZA WOMEN WEDGES,1986,1707,Liza Women Wedges,1990.0,1393.0
73,HRS ULTIMATE BOY ELBOW PADS,236,279,HRS ULTIMATE BOY Elbow Pads,250.0,230.0
74,SATHIYAS COTTON BATH TOWEL,582,568,Sathiyas Cotton Bath Towel,600.0,449.0
75,HRS ULTIMATE MEN CHEST PADS,435,474,HRS ULTIMATE MEN Chest Pads,440.0,395.0
76,Eurospa Cotton Terry Face Towel Set,-15,0,Eurospa Cotton Terry Face Towel Set,,
77,SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet,2695,1570,SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet,2699.0,1299.0
78,CASEDEAL Microsoft Nokia lumia x2 Back Panel,1989,472,CASEDEAL Microsoft Nokia lumia x2 Back Panel,1999.0,380.0
79,Mario Gotze Women's Printed Casual Orange Shirt,1486,1162,Mario Gotze Women's Printed Casual Orange Shirt,1499.0,899.0
80,Jaipur Print Cotton Floral King sized Double Bedsheet,2595,864,Jaipur Print Cotton Floral King sized Double Bedsheet,2599.0,698.0
81,Shilpi NHSCN003 Coin Bank,880,787,Shilpi NHSCN003 Coin Bank,900.0,650.0
82,Jaipur Print Cotton Floral King sized Double Bedsheet,2589,806,Jaipur Print Cotton Floral King sized Double Bedsheet,2599.0,698.0
83,Babeezworld Dungaree Baby Boy's  Combo,997,565,Babeezworld Dungaree Baby Boy's  Combo,999.0,499.0
84,Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm,1590,1487,Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm,1600.0,1200.0
85,"Proence Weight Gainers, Mass Gainers",1010,1107,"Proence Weight Gainers, Mass Gainers",1025.0,949.0
86,Discountgod Men's Checkered Casual Shirt,732,662,Discountgod Men's Checkered Casual Shirt,750.0,590.0
87,Silver Streak Men's Printed Casual Denim Shirt,1298,713,Silver Streak Men's Printed Casual Denim Shirt,1299.0,599.0
88,"Cobra Paris CO6394A1 Analog Watch  - For Men, Boys",18981,16829,"Cobra Paris CO6394A1 Analog Watch  - For Men, Boys",18995.0,15195.0
89,TEN TEN Women's Black Knee Length Boots Boots,4986,2581,TEN TEN Women's Black Knee Length Boots Boots,4995.0,1995.0
90,"Aries Gold G 729 S-BK Analog Watch  - For Men, Boys",13682,16407,"Aries Gold G 729 S-BK Analog Watch  - For Men, Boys",13699.0,13099.0
91,Carlton Boots,3484,1379,Carlton Boots,3495.0,1223.0
92,Maserati Time R8851116001 Analog Watch  - For Boys,24393,30971,Maserati Time R8851116001 Analog Watch  - For Boys,24400.0,24400.0
93,"Vizion 8503B-1RED Cold Light Digital Watch  - For Boys, Girls",1087,769,"Vizion 8503B-1RED Cold Light Digital Watch  - For Boys, Girls",1095.0,595.0
94,"Camerii WM64 Elegance Analog Watch  - For Men, Boys",1088,561,"Camerii WM64 Elegance Analog Watch  - For Men, Boys",1099.0,449.0
95,Reckler Slim Fit Men's Jeans,5383,3179,Reckler Slim Fit Men's Jeans,5398.0,2599.0
96,Quechua Arpenaz Novadry Boots,2481,2748,Quechua Arpenaz Novadry Boots,2499.0,2250.0
97,"Colat COLAT_MW20 Sheen Analog Watch  - For Men, Women, Boys, Girls",3990,983,"Colat COLAT_MW20 Sheen Analog Watch  - For Men, Women, Boys, Girls",3999.0,849.0
98,Steppings Trendy Boots,1791,844,Steppings Trendy Boots,1799.0,719.0
99,Rochees RW38 Analog Watch  - For Boys,1414,1357,Rochees RW38 Analog Watch  - For Boys,1415.0,1202.0
100,"Rorlig RR-028 Expedition Analog Watch  - For Men, Boys",1084,468,"Rorlig RR-028 Expedition Analog Watch  - For Men, Boys",1099.0,399.0
101,Catwalk Boots,2086,1283,Catwalk Boots,2095.0,999.0
102,Magnum Footwear Lifestyle,3982,2586,Magnum Footwear Lifestyle,3999.0,2099.0
103,T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys,990,469,T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys,999.0,399.0
104,Rialto Boots,3275,3331,Rialto Boots,3295.0,2795.0
105,Kielz Ladies Boots,2481,1583,Kielz Ladies Boots,2499.0,1249.0
106,"Alfajr WY16B Youth Digital Watch  - For Men, Boys",5476,5916,"Alfajr WY16B Youth Digital Watch  - For Men, Boys",5495.0,4995.0
107,La Briza Ashley Boots,2296,2840,La Briza Ashley Boots,2299.0,2299.0
108,"TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men",107737,137323,"TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men",107750.0,107750.0
109,Salt N Pepper 13-019 Femme Black Boots Boots,4176,3857,Salt N Pepper 13-019 Femme Black Boots Boots,4195.0,3146.0
110,Shuz Touch Boots,1497,1651,Shuz Touch Boots,1499.0,1270.0
111,Wrangler Skanders Fit Men's Jeans,2785,2254,Wrangler Skanders Fit Men's Jeans,2795.0,1817.0
112,Steppings Trendy Boots,3191,2295,Steppings Trendy Boots,3199.0,1919.0
113,Salt N Pepper 14-664 Denny Black Boots Boots,4283,3869,Salt N Pepper 14-664 Denny Black Boots Boots,4295.0,3221.0
114,"Costa Swiss CS-2001 Analog Watch  - For Boys, Men",1189,513,"Costa Swiss CS-2001 Analog Watch  - For Boys, Men",1199.0,429.0
115,Crocs Boots,3977,4845,Crocs Boots,3995.0,3995.0
116,"Breitling AB011010/BB08 131S Chronomat 44 Analog Watch  - For Boys, Men",571223,726879,"Breitling AB011010/BB08 131S Chronomat 44 Analog Watch  - For Boys, Men",571230.0,571230.0
117,Lyc White Casual Boots,1195,1025,Lyc White Casual Boots,1199.0,899.0
118,Myra Comfortable Boots,1038,573,Myra Comfortable Boots,1049.0,499.0
119,"Calibro SW-125 Analog-Digital Watch  - For Men, Boys",1991,896,"Calibro SW-125 Analog-Digital Watch  - For Men, Boys",2000.0,699.0
120,Get Glamr Designer Uggy Boots,3487,3180,Get Glamr Designer Uggy Boots,3499.0,2799.0
121,Kielz Ladies Boots,2295,1019,Kielz Ladies Boots,2299.0,899.0
122,Kielz Ladies Boots,1996,1187,Kielz Ladies Boots,1999.0,999.0
123,Rochees RW50 Analog Watch  - For Boys,1110,1225,Rochees RW50 Analog Watch  - For Boys,1120.0,952.0
124,Kielz Ladies Boots,2780,1529,Kielz Ladies Boots,2799.0,1299.0
125,Salt N Pepper 13-516 Greta Red Boots,3475,3380,Salt N Pepper 13-516 Greta Red Boots,3495.0,2621.0
126,Fluid DMF-002-GR01 Digital Watch  - For Boys,1682,1026,Fluid DMF-002-GR01 Digital Watch  - For Boys,1699.0,849.0
127,Steppings Trendy Boots,1587,825,Steppings Trendy Boots,1599.0,639.0
128,Rialto Boots,3292,2738,Rialto Boots,3295.0,2395.0
129,"Rorlig RR-030 Essentials Analog Watch  - For Men, Boys",1085,472,"Rorlig RR-030 Essentials Analog Watch  - For Men, Boys",1099.0,399.0
130,Wrangler Regular Fit Men's Jeans,3279,2305,Wrangler Regular Fit Men's Jeans,3295.0,1812.0
131,Steppings Trendy Boots,3492,2874,Steppings Trendy Boots,3499.0,2274.0
132,"Disney DW100230 Digital Watch  - For Boys, Girls",342,386,"Disney DW100230 Digital Watch  - For Boys, Girls",350.0,350.0
133,Salt N Pepper 13-167 Marsha Red Boots,3692,3441,Salt N Pepper 13-167 Marsha Red Boots,3695.0,2771.0
134,"Cartier W6701005 Analog Watch  - For Boys, Men",200990,246928,"Cartier W6701005 Analog Watch  - For Boys, Men",201000.0,201000.0
135,Bruno Manetti Cannelita Boots,3394,1564,Bruno Manetti Cannelita Boots,3399.0,1359.0
136,Stylistry Maxis Shde6603brwoboot3104 Boots,2185,1785,Stylistry Maxis Shde6603brwoboot3104 Boots,2199.0,1599.0
137,"Lois Caron LCS-4032 Analog Watch  - For Boys, Men",1181,444,"Lois Caron LCS-4032 Analog Watch  - For Boys, Men",1200.0,399.0
138,"Felix Y 39 Analog Watch  - For Boys, Men",1536,602,"Felix Y 39 Analog Watch  - For Boys, Men",1550.0,525.0
139,Kielz Boots,2987,2706,Kielz Boots,2999.0,2399.0
140,Kielz Ladies Boots,2295,1116,Kielz Ladies Boots,2299.0,899.0
141,Sakay Country Leather Boots,3980,3877,Sakay Country Leather Boots,3999.0,3499.0
142,La Briza Black Boots,2282,2385,La Briza Black Boots,2299.0,2069.0
143,"Kool Kidz DMK-012-QU02 Analog Watch  - For Girls, Boys",362,324,"Kool Kidz DMK-012-QU02 Analog Watch  - For Girls, Boys",375.0,263.0
144,"Franck Bella FB0128B Analog Watch  - For Men, Boys",1180,1229,"Franck Bella FB0128B Analog Watch  - For Men, Boys",1199.0,959.0
145,Steppings Trendy Boots,2198,1415,Steppings Trendy Boots,2199.0,1099.0
146,"Kool Kidz DMK-003-YL 03 Analog Watch  - For Girls, Boys",466,368,"Kool Kidz DMK-003-YL 03 Analog Watch  - For Girls, Boys",475.0,333.0
147,"Vizion 8502-6BLACK Sports Series Digital Watch  - For Boys, Girls",1083,739,"Vizion 8502-6BLACK Sports Series Digital Watch  - For Boys, Girls",1095.0,595.0
148,Vencer Stella 7lyt1011 Digital Watch  - For Boys,381,178,Vencer Stella 7lyt1011 Digital Watch  - For Boys,399.0,144.0
149,La Briza Mile Boots,3998,4701,La Briza Mile Boots,3999.0,3999.0
150,"Casela CAS-W-13 Basic Analog Watch  - For Boys, Girls",3979,1064,"Casela CAS-W-13 Basic Analog Watch  - For Boys, Girls",3999.0,899.0
151,Sneha Unique Boots,1794,1026,Sneha Unique Boots,1799.0,899.0
152,Timer TC_-_690143 Analog Watch  - For Boys,1287,707,Timer TC_-_690143 Analog Watch  - For Boys,1299.0,549.0
153,NE Regular Fit Men's Jeans,4988,2180,NE Regular Fit Men's Jeans,4999.0,1899.0
154,Shuz Touch Boots,2989,3434,Shuz Touch Boots,2995.0,2995.0
155,Kielz Ladies Boots,2492,1393,Kielz Ladies Boots,2499.0,1149.0
156,"Colat COLAT_M08 Roman Numerals Analog Watch  - For Men, Boys",4991,1287,"Colat COLAT_M08 Roman Numerals Analog Watch  - For Men, Boys",4999.0,1049.0
157,Kielz Ladies Boots,2287,1067,Kielz Ladies Boots,2299.0,899.0
158,Belle Gambe Boots,3988,2169,Belle Gambe Boots,3999.0,1695.0
159,"Titan 1639SL03 Analog Watch  - For Boys, Men",1783,2169,"Titan 1639SL03 Analog Watch  - For Boys, Men",1795.0,1695.0
160,Selfie Boots,1191,773,Selfie Boots,1200.0,599.0
161,Clincher Semonday Boots,3497,4157,Clincher Semonday Boots,3499.0,3499.0
162,"Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls",790,233,"Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls",799.0,200.0
163,Kielz Ladies Boots,2485,1446,Kielz Ladies Boots,2499.0,1149.0
164,"Q&Q VQ13-008 Analog Watch  - For Girls, Boys",573,620,"Q&Q VQ13-008 Analog Watch  - For Girls, Boys",585.0,526.0
165,Belle Gambe Boots,3495,2123,Belle Gambe Boots,3499.0,1765.0
166,"Escort E-1700-906_Blk Analog Watch  - For Men, Boys",1919,2269,"Escort E-1700-906_Blk Analog Watch  - For Men, Boys",1925.0,1829.0
167,Roxy Boots,19979,12156,Roxy Boots,19995.0,9997.0
168,Lee Men's Jeans,2681,2089,Lee Men's Jeans,2699.0,1619.0
169,Bruno Manetti 676 Boots,2979,1482,Bruno Manetti 676 Boots,2999.0,1199.0
170,"Estilo 1056 Analog Watch  - For Boys, Men",1295,371,"Estilo 1056 Analog Watch  - For Boys, Men",1299.0,299.0
171,Jack klein BlackLed Digital Watch  - For Boys,994,187,Jack klein BlackLed Digital Watch  - For Boys,999.0,150.0
172,"North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women",220,176,"North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women",235.0,150.0
173,Shuz Touch Boots,1484,1448,Shuz Touch Boots,1499.0,1270.0
174,Foot Candy Boots,2887,2095,Foot Candy Boots,2899.0,1699.0
175,Credos Boots,4496,4097,Credos Boots,4499.0,3499.0
176,"Rich Club Apple Shaped LED Digital Watch  - For Boys, Girls",996,164,"Rich Club Apple Shaped LED Digital Watch  - For Boys, Girls",999.0,149.0
177,"Skmei AD1031-Black Formal Analog-Digital Watch  - For Men, Boys",2489,2146,"Skmei AD1031-Black Formal Analog-Digital Watch  - For Men, Boys",2499.0,1699.0
178,Kielz Ladies Boots,2792,1535,Kielz Ladies Boots,2799.0,1299.0
179,"Kms Ironman_Look_Led_Black11 Digital Watch  - For Men, Women, Girls, Boys",1378,392,"Kms Ironman_Look_Led_Black11 Digital Watch  - For Men, Women, Girls, Boys",1395.0,350.0
180,Anand Archies Boots,492,575,Anand Archies Boots,499.0,499.0
181,Magnum Footwear Lifestyle Boots,2992,2185,Magnum Footwear Lifestyle Boots,2999.0,1899.0
182,Steppings Trendy Boots,2185,1390,Steppings Trendy Boots,2199.0,1099.0
183,Swag 670038 Analog Watch  - For Boys,2480,1126,Swag 670038 Analog Watch  - For Boys,2499.0,899.0
184,Bonzer Boots,987,582,Bonzer Boots,999.0,499.0
185,Roadster Skinny Fit Fit Men's Jeans,2495,1414,Roadster Skinny Fit Fit Men's Jeans,2499.0,1249.0
186,Selfie Black Denim Boots,990,638,Selfie Black Denim Boots,1000.0,499.0
187,Steppings Boots Boots,3193,2835,Steppings Boots Boots,3199.0,2559.0
188,"Q&Q LLA2-213 Digital Watch  - For Boys, Girls",626,822,"Q&Q LLA2-213 Digital Watch  - For Boys, Girls",645.0,645.0
189,Belle Gambe Winter Boots,3498,1943,Belle Gambe Winter Boots,3499.0,1695.0
190,"Hala Red In Black trendy digital Digital Watch  - For Boys, Girls, Men",398,180,"Hala Red In Black trendy digital Digital Watch  - For Boys, Girls, Men",399.0,159.0
191,Kielz Ladies Boots,2485,1518,Kielz Ladies Boots,2499.0,1249.0
192,Kielz Boots,2496,2566,Kielz Boots,2499.0,1999.0
193,"Franck Bella FB74C Analog Watch  - For Boys, Men",1295,931,"Franck Bella FB74C Analog Watch  - For Boys, Men",1299.0,780.0
194,Carlton London Boots,2279,2871,Carlton London Boots,2295.0,2295.0
195,Ridas Apl_led_black Apple Shape Digital Watch  - For Boys,331,298,Ridas Apl_led_black Apple Shape Digital Watch  - For Boys,349.0,249.0
196,Shuz Touch Boots,4485,5839,Shuz Touch Boots,4495.0,4495.0
197,La Briza Andria Boots,2085,2641,La Briza Andria Boots,2099.0,2099.0
198,"Skmei 1070BLK Sports Analog-Digital Watch  - For Men, Boys",2343,1456,"Skmei 1070BLK Sports Analog-Digital Watch  - For Men, Boys",2345.0,1179.0
199,Kielz Ladies Boots,1883,1236,Kielz Ladies Boots,1899.0,999.0
200,Carlton London Boots,1988,2334,Carlton London Boots,1995.0,1995.0
201,"Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys",1784,1327,"Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys",1799.0,1199.0
202,Urban Country Ladies Boots,3296,2015,Urban Country Ladies Boots,3299.0,1650.0
203,Now SP-ETHNIC Analog Watch  - For Boys,586,767,Now SP-ETHNIC Analog Watch  - For Boys,600.0,600.0
204,"Disney MSFR190-01B Analog Watch  - For Boys, Girls",1344,1597,"Disney MSFR190-01B Analog Watch  - For Boys, Girls",1350.0,1350.0
205,Get Glamr Designer Yuvu Boots,3483,3565,Get Glamr Designer Yuvu Boots,3499.0,2799.0
206,Kielz Boots,2481,3094,Kielz Boots,2499.0,2399.0
207,Belle Gambe Boots,3985,1979,Belle Gambe Boots,3999.0,1765.0
208,Remson India Boots,3993,2458,Remson India Boots,3999.0,1999.0
209,Steppings Trendy Boots,1592,734,Steppings Trendy Boots,1599.0,639.0
210,Jacques Farel KWD2324 Analog Watch  - For Boys,2838,1748,Jacques Farel KWD2324 Analog Watch  - For Boys,2850.0,1567.0
211,Rialto Boots,2786,2165,Rialto Boots,2795.0,1800.0
212,Salt N Pepper 13-455 Pisa Black Boots,4993,4661,Salt N Pepper 13-455 Pisa Black Boots,4995.0,3746.0
213,"Oxter Chrono Blue Italia Analog Watch  - For Men, Boys",988,354,"Oxter Chrono Blue Italia Analog Watch  - For Men, Boys",999.0,299.0
214,Klaur Melbourne Boots,3480,1868,Klaur Melbourne Boots,3499.0,1574.0
215,"Positif Pfbk612 Analog Watch  - For Men, Boys",1086,978,"Positif Pfbk612 Analog Watch  - For Men, Boys",1100.0,800.0
216,Selfie Boots,1183,751,Selfie Boots,1200.0,599.0
217,"D'SIGNER 688RGM _BRN Analog Watch  - For Men, Boys",8975,10759,"D'SIGNER 688RGM _BRN Analog Watch  - For Men, Boys",8995.0,8545.0
218,Salt N Pepper 13-019 Femme Taupe Boots Boots,4181,2524,Salt N Pepper 13-019 Femme Taupe Boots Boots,4195.0,2050.0
219,"Franck Bella FB127A Analog Watch  - For Boys, Men",1232,1292,"Franck Bella FB127A Analog Watch  - For Boys, Men",1250.0,999.0
220,Get Glamr Stylish Boots,1992,596,Get Glamr Stylish Boots,1999.0,499.0
221,"Felix 3541 W-S METAL Analog Watch  - For Boys, Girls",1340,719,"Felix 3541 W-S METAL Analog Watch  - For Boys, Girls",1350.0,555.0
222,Steppings Trendy Boots,1789,910,Steppings Trendy Boots,1799.0,719.0
223,Steppings Boots Boots,3186,3195,Steppings Boots Boots,3199.0,2559.0
224,"Skmei DG0939-Red Sports Digital Watch  - For Men, Boys",1488,1206,"Skmei DG0939-Red Sports Digital Watch  - For Men, Boys",1499.0,999.0
225,Do Bhai Boots,798,904,Do Bhai Boots,799.0,699.0
226,"Vizion 8502-4BLUE Sports Series Digital Watch  - For Boys, Girls",1076,736,"Vizion 8502-4BLUE Sports Series Digital Watch  - For Boys, Girls",1095.0,595.0
227,Steppings Boots Boots,3191,3097,Steppings Boots Boots,3199.0,2559.0
228,Steppings Trendy Boots,3484,2367,Steppings Trendy Boots,3499.0,2099.0
